Player,Salary,Salary adjusted by inflation,Season
RJ Hampton,2193480,2193480,2020/21
Solomon Hill,2174318,2174318,2020/21
Matthew Dellavedova,2174318,2174318,2020/21
Edmond Sumner,2160000,2160000,2020/21
Anderson Varejao,2141713,2141713,2020/21
Dylan Windler,2137440,2137440,2020/21
Immanuel Quickley,2105520,2105520,2020/21
John Konchar,2100000,2100000,2020/21
Landry Shamet,2090040,2090040,2020/21
Jordan Poole,2063280,2063280,2020/21
Bol Bol,2058240,2058240,2020/21
Keldon Johnson,2048040,2048040,2020/21
Payton Pritchard,2035800,2035800,2020/21
Robert Williams,2029920,2029920,2020/21
Tyler Johnson,2028594,2028594,2020/21
Bruno Caboclo,2028594,2028594,2020/21
Langston Galloway,2028594,2028594,2020/21
Gary Clark,2018458,2018458,2020/21
Jacob Evans,2017320,2017320,2020/21
Spencer Hawes,2007058,2007058,2020/21
Dzanan Musa,2002800,2002800,2020/21
Damyean Dotson,2000000,2000000,2020/21
Kenrich Williams,2000000,2000000,2020/21
Theo Maledon,2000000,2000000,2020/21
Omari Spellman,1988280,1988280,2020/21
Quinn Cook,1981649,1981649,2020/21
Mario Hezonja,1977011,1977011,2020/21
Cameron Payne,1977011,1977011,2020/21
Udoka Azubuike,1977000,1977000,2020/21
Jaden McDaniels,1964760,1964760,2020/21
Malachi Flynn,1950600,1950600,2020/21
Desmond Bane,1936440,1936440,2020/21
Jontay Porter,1900000,1900000,2020/21
Jahlil Okafor,1882867,1882867,2020/21
JaKarr Sampson,1882867,1882867,2020/21
Raul Neto,1882867,1882867,2020/21
Larry Sanders,1865546,1865546,2020/21
Timothe Luwawu,1824003,1824003,2020/21
David Nwaba,1824003,1824003,2020/21
Marquese Chriss,1824003,1824003,2020/21
Georges Niang,1783557,1783557,2020/21
Rodions Kurucs,1780152,1780152,2020/21
PJ Dozier,1762796,1762796,2020/21
Damion Lee,1762796,1762796,2020/21
Alfonzo McKinnie,1762796,1762796,2020/21
Furkan Korkmaz,1762796,1762796,2020/21
Semi Ojeleye,1752950,1752950,2020/21
Abdel Nader,1752950,1752950,2020/21
Thon Maker,1737145,1737145,2020/21
Willy Hernangomez,1737145,1737145,2020/21
Frank Kaminsky,1737145,1737145,2020/21
DeAndre Bembry,1737145,1737145,2020/21
Monte Morris,1723707,1723707,2020/21
Kevin Porter,1717981,1717981,2020/21
Brandon Goodwin,1701593,1701593,2020/21
Thanasis Antetokounmpo,1701593,1701593,2020/21
Shake Milton,1701593,1701593,2020/21
Ignas Brazdeikis,1686315,1686315,2020/21
Sterling Brown,1678854,1678854,2020/21
Wesley Iwundu,1678854,1678854,2020/21
Dwayne Bacon,1678854,1678854,2020/21
Torrey Craig,1678854,1678854,2020/21
Bruce Brown,1663861,1663861,2020/21
Devonte Graham,1663861,1663861,2020/21
Jalen Brunson,1663861,1663861,2020/21
Hamidou Diallo,1663861,1663861,2020/21
Duncan Robinson,1663861,1663861,2020/21
Kendrick Nunn,1663861,1663861,2020/21
Jarred Vanderbilt,1663861,1663861,2020/21
Mitchell Robinson,1663861,1663861,2020/21
Sviatoslav Mykhailiuk,1663861,1663861,2020/21
Gary Trent Jr,1663861,1663861,2020/21
Isaac Bonga,1663861,1663861,2020/21
Isaiah Hartenstein,1620564,1620564,2020/21
Wenyen Gabriel,1620564,1620564,2020/21
Josh Gray,1620564,1620564,2020/21
Harry Giles,1620564,1620564,2020/21
Drew Eubanks,1620564,1620564,2020/21
Bruno Fernando,1517981,1517981,2020/21
Carsen Edwards,1517981,1517981,2020/21
Nicolas Claxton,1517981,1517981,2020/21
Cody Martin,1517981,1517981,2020/21
Caleb Martin,1517981,1517981,2020/21
Jalen McDaniels,1517981,1517981,2020/21
Javonte Green,1517981,1517981,2020/21
Dean Wade,1517981,1517981,2020/21
Vlatko Cancar,1517981,1517981,2020/21
Eric Paschall,1517981,1517981,2020/21
Alen Smailagic,1517981,1517981,2020/21
Mychal Mulder,1517981,1517981,2020/21
Chris Clemons,1517981,1517981,2020/21
Jalen Lecque,1517981,1517981,2020/21
Terance Mann,1517981,1517981,2020/21
Talen Horton-Tucker,1517981,1517981,2020/21
KZ Okpala,1517981,1517981,2020/21
Naz Reid,1517981,1517981,2020/21
Jaylen Nowell,1517981,1517981,2020/21
Luguentz Dort,1517981,1517981,2020/21
Isaiah Roby,1517981,1517981,2020/21
Admiral Schofield,1517981,1517981,2020/21
Justin James,1517981,1517981,2020/21
Terence Davis,1517981,1517981,2020/21
Chris Silva,1517981,1517981,2020/21
Miye Oni,1517981,1517981,2020/21
Juwan Morgan,1517981,1517981,2020/21
Matt Thomas,1517981,1517981,2020/21
Daniel Gafford,1517981,1517981,2020/21
Robert Woodard,1500000,1500000,2020/21
Damian Jones,1487284,1487284,2020/21
JR Smith,1456667,1456667,2020/21
Jae'Sean Tate,1445697,1445697,2020/21
DaQuan Jeffries,1445697,1445697,2020/21
Kelan Martin,1445697,1445697,2020/21
Zylan Cheatham,1445697,1445697,2020/21
Paul Watson,1445697,1445697,2020/21
Vernon Carey,1350000,1350000,2020/21
Xavier Tillman,1300000,1300000,2020/21
Tyrell Terry,1289846,1289846,2020/21
Oshae Brissett,1255493,1255493,2020/21
Moses Brown,1250000,1250000,2020/21
Sindarius Thornwell,1235889,1235889,2020/21
Ersan Ilyasova,1194542,1194542,2020/21
Glenn Robinson III,1165322,1165322,2020/21
Zhaire Smith,1068200,1068200,2020/21
Khyri Thomas,1061283,1061283,2020/21
Guerschon Yabusele,1039080,1039080,2020/21
Norvel Pelle,1014905,1014905,2020/21
Nick Richards,1000000,1000000,2020/21
Lamar Stevens,1000000,1000000,2020/21
Jahmi'us Ramsey,1000000,1000000,2020/21
Kyle Singler,999200,999200,2020/21
Juan Toscano-Anderson,943963,943963,2020/21
Shaquille Harrison,915048,915048,2020/21
Chimezie Metu,910895,910895,2020/21
Deividas Sirvydis,898310,898310,2020/21
KJ Martin,898310,898310,2020/21
Daniel Oturu,898310,898310,2020/21
Jordan Nwora,898310,898310,2020/21
Sam Merrill,898310,898310,2020/21
Isaiah Joe,898310,898310,2020/21
CJ Elleby,898310,898310,2020/21
Tre Jones,898310,898310,2020/21
Elijah Hughes,898310,898310,2020/21
Anthony Gill,898310,898310,2020/21
Iman Shumpert,803044,803044,2020/21
Theo Pinson,802182,802182,2020/21
Yuta Watanabe,737996,737996,2020/21
Tremont Waters,712278,712278,2020/21
Frank Jackson,699115,699115,2020/21
Rayjon Tucker,693755,693755,2020/21
Tyler Cook,693141,693141,2020/21
Garrison Mathews,688052,688052,2020/21
Cole Aldrich,685340,685340,2020/21
Shaun Livingston,666666,666666,2020/21
Gabe Vincent,660750,660750,2020/21
Tacko Fall,653924,653924,2020/21
Max Strus,647098,647098,2020/21
Alize Johnson,621587,621587,2020/21
Anthony Tolliver,614838,614838,2020/21
Paul Reed,609128,609128,2020/21
Tim Frazier,597463,597463,2020/21
Jordan Bell,592368,592368,2020/21
Amir Coffey,578842,578842,2020/21
Naji Marshall,538391,538391,2020/21
Kyle Guy,537888,537888,2020/21
Markus Howard,535294,535294,2020/21
Skylar Mays,532218,532218,2020/21
Mamadi Diakite,529341,529341,2020/21
Nathan Knight,522989,522989,2020/21
Jared Harper,520487,520487,2020/21
Saben Lee,516836,516836,2020/21
Jarrell Brantley,510586,510586,2020/21
Jordan McLaughlin,503760,503760,2020/21
Rondae Hollis-Jefferson,502957,502957,2020/21
Reggie Perry,489148,489148,2020/21
Cassius Stanley,470690,470690,2020/21
Trent Forrest,470690,470690,2020/21
Dakari Johnson,459414,459414,2020/21
Chris Chiozza,449115,449115,2020/21
Grant Riller,449115,449115,2020/21
Nate Darling,449115,449115,2020/21
Devon Dotson,449115,449115,2020/21
Adam Mokoka,449115,449115,2020/21
Marques Bolden,449115,449115,2020/21
Tyler Bey,449115,449115,2020/21
Nate Hinton,449115,449115,2020/21
Nico Mannion,449115,449115,2020/21
Jay Scrubb,449115,449115,2020/21
Kostas Antetokounmpo,449115,449115,2020/21
Devontae Cacok,449115,449115,2020/21
Killian Tillie,449115,449115,2020/21
Sean McDermott,449115,449115,2020/21
Jaylen Adams,449115,449115,2020/21
Josh Hall,449115,449115,2020/21
Ty-Shon Alexander,449115,449115,2020/21
Keljin Blevins,449115,449115,2020/21
Quinndary Weatherspoon,449115,449115,2020/21
Keita Bates-Diop,449115,449115,2020/21
Jalen Harris,449115,449115,2020/21
Cassius Winston,449115,449115,2020/21
Yogi Ferrell,444149,444149,2020/21
Noah Vonleh,427725,427725,2020/21
Mason Jones,424544,424544,2020/21
Brodric Thomas,412202,412202,2020/21
Andre Roberson,411639,411639,2020/21
Donta Hall,376276,376276,2020/21
Brian Bowen,375321,375321,2020/21
Anzejs Pasecniks,374297,374297,2020/21
Freddie Gillespie,363015,363015,2020/21
AJ Hammons,350087,350087,2020/21
Karim Mane,344557,344557,2020/21
Will Magnay,341481,341481,2020/21
Greg Whittington,332252,332252,2020/21
Raymond Spalding,289156,289156,2020/21
Chasson Randle,279927,279927,2020/21
Justin Patton,267623,267623,2020/21
Gary Payton II,249864,249864,2020/21
Mike James,237648,237648,2020/21
Charlie Brown,217844,217844,2020/21
Anthony Lamb,215330,215330,2020/21
Justin Robinson,198040,198040,2020/21
Axel Toupane,196872,196872,2020/21
Henry Ellenson,168983,168983,2020/21
Ashton Hagans,166111,166111,2020/21
Isaiah Thomas,159698,159698,2020/21
John Henson,158907,158907,2020/21
Armoni Brooks,135362,135362,2020/21
