Player,Salary,Salary adjusted by inflation,Season
Tony Allen,3300000,3707240,2012/13
Jan Vesely,3294960,3701578,2012/13
Corey Brewer,3243000,3643206,2012/13
Greg Monroe,3217680,3614761,2012/13
Brandon Jennings,3179493,3571862,2012/13
Shawne Williams,3158000,3547716,2012/13
Josh McRoberts,3135000,3521878,2012/13
Shane Battier,3135000,3521878,2012/13
Vince Carter,3120000,3505027,2012/13
Gerald Henderson,3101326,3484048,2012/13
Jerryd Bayless,3100000,3482559,2012/13
Mirza Teletovic,3090000,3471325,2012/13
Ray Allen,3090000,3471325,2012/13
Jason Kidd,3090000,3471325,2012/13
Damian Lillard,3065040,3443284,2012/13
Tyler Hansbrough,3055259,3432296,2012/13
Alexey Shved,3017943,3390375,2012/13
Bismack Biyombo,3007920,3379115,2012/13
Darrell Arthur,3006217,3377202,2012/13
Kosta Koufos,3000000,3370218,2012/13
Carlos Delfino,3000000,3370218,2012/13
Chauncey Billups,3000000,3370218,2012/13
Lavoy Allen,3000000,3370218,2012/13
Kwame Brown,3000000,3370218,2012/13
Austin Daye,2958444,3323534,2012/13
Al-Farouq Aminu,2947800,3311576,2012/13
Nick Collison,2929332,3290829,2012/13
Dahntay Jones,2900000,3257877,2012/13
Joel Freeland,2900000,3257877,2012/13
James Johnson,2812006,3159024,2012/13
JR Smith,2806452,3152785,2012/13
Harrison Barnes,2798040,3143335,2012/13
Timofey Mozgov,2794621,3139494,2012/13
Brandon Knight,2755560,3095613,2012/13
Gordon Hayward,2709720,3044116,2012/13
Quentin Richardson,2706940,3040992,2012/13
Jrue Holiday,2674851,3004944,2012/13
Greg Stiemsma,2575000,2892770,2012/13
Paul George,2574120,2891782,2012/13
Terrence Ross,2563320,2879649,2012/13
Ty Lawson,2544528,2858538,2012/13
Kemba Walker,2532960,2845542,2012/13
Reggie Williams,2500000,2808515,2012/13
Jason Smith,2500000,2808515,2012/13
Randy Foye,2500000,2808515,2012/13
Cole Aldrich,2445480,2747267,2012/13
Jeff Teague,2433076,2733332,2012/13
Jimmer Fredette,2406240,2703184,2012/13
Andre Drummond,2356320,2647104,2012/13
Eric Maynor,2338720,2627332,2012/13
Xavier Henry,2323200,2609897,2012/13
Darren Collison,2319344,2605565,2012/13
Omri Casspi,2277306,2558339,2012/13
BJ Mullens,2253061,2531102,2012/13
Serge Ibaka,2253061,2531102,2012/13
DeShawn Stevenson,2240450,2516935,2012/13
Austin Rivers,2238360,2514587,2012/13
Rodrigue Beaubois,2227332,2502198,2012/13
CJ Miles,2225000,2499578,2012/13
Klay Thompson,2222160,2496388,2012/13
Ed Davis,2207040,2479402,2012/13
Martell Webster,2200000,2471492,2012/13
Alec Burks,2171640,2439633,2012/13
Taj Gibson,2155811,2421851,2012/13
Meyers Leonard,2126520,2388945,2012/13
Patrick Patterson,2096760,2355513,2012/13
Dante Cunningham,2090000,2347918,2012/13
Wayne Ellington,2083042,2340102,2012/13
Toney Douglas,2067880,2323069,2012/13
Markieff Morris,2063040,2317631,2012/13
Shaun Livingston,2038446,2290002,2012/13
Jeremy Lamb,2020200,2269505,2012/13
Earl Watson,2000000,2246812,2012/13
Larry Sanders,1991760,2237555,2012/13
Marcus Morris,1959960,2201831,2012/13
Marco Belinelli,1957000,2198505,2012/13
Grant Hill,1957000,2198505,2012/13
Kendall Marshall,1919160,2155996,2012/13
Luke Babbitt,1892280,2125799,2012/13
Kawhi Leonard,1861920,2091692,2012/13
John Henson,1823280,2048283,2012/13
Kevin Seraphin,1797600,2019434,2012/13
Jeremy Evans,1795000,2016514,2012/13
Nikola Vucevic,1768800,1987080,2012/13
Moe Harkless,1731960,1945694,2012/13
Eric Bledsoe,1707720,1918463,2012/13
Iman Shumpert,1680360,1887726,2012/13
Renaldo Balkman,1675000,1881705,2012/13
Anthony Randolph,1674641,1881302,2012/13
Royce White,1645440,1848497,2012/13
Avery Bradley,1630800,1832050,2012/13
Reggie Evans,1622618,1822859,2012/13
Chris Singleton,1596360,1793360,2012/13
Sebastian Telfair,1567500,1760939,2012/13
Tyler Zeller,1563120,1756018,2012/13
Tobias Harris,1524480,1712610,2012/13
Derek Fisher,1519214,1706694,2012/13
Jordan Farmar,1500000,1685109,2012/13
Vyacheslav Kravtsov,1500000,1685109,2012/13
Gary Forbes,1500000,1685109,2012/13
Gustavo Ayon,1500000,1685109,2012/13
John Lucas,1500000,1685109,2012/13
Terrence Jones,1485000,1668258,2012/13
Jared Jeffries,1475106,1657143,2012/13
Keyon Dooling,1471491,1653081,2012/13
Elliot Williams,1442880,1620940,2012/13
Andrew Nicholson,1418160,1593169,2012/13
Nolan Smith,1404960,1578340,2012/13
Jodie Meeks,1400000,1572768,2012/13
Nando De Colo,1400000,1572768,2012/13
Trevor Booker,1385280,1556232,2012/13
Willie Green,1375000,1544683,2012/13
Louis Amundson,1365196,1533668,2012/13
Evan Fournier,1361400,1529405,2012/13
Donatas Motiejunas,1361400,1529405,2012/13
Chris Wilcox,1352181,1519048,2012/13
Jerry Stackhouse,1352181,1519048,2012/13
Nazr Mohammed,1352181,1519048,2012/13
Vladimir Radmanovic,1352181,1519048,2012/13
Antawn Jamison,1352181,1519048,2012/13
Joel Przybilla,1352181,1519048,2012/13
Rasheed Wallace,1352181,1519048,2012/13
Kurt Thomas,1352181,1519048,2012/13
Jermaine O'Neal,1352181,1519048,2012/13
Jamaal Tinsley,1352181,1519048,2012/13
Jason Collins,1352181,1519048,2012/13
Kenneth Faried,1348800,1515250,2012/13
Jeremy Pargo,1313845,1475981,2012/13
Jared Sullinger,1306920,1468201,2012/13
Hamed Haddadi,1300000,1460428,2012/13
Dominique Jones,1276560,1434095,2012/13
Fab Melo,1254720,1409560,2012/13
Victor Claver,1254720,1409560,2012/13
Reggie Jackson,1243080,1396483,2012/13
Earl Clark,1240000,1393023,2012/13
Quincy Pondexter,1234320,1386642,2012/13
Aleksandar Pavlovic,1232713,1384837,2012/13
Marquis Daniels,1229255,1380952,2012/13
Roger Mason,1229255,1380952,2012/13
Leandro Barbosa,1229255,1380952,2012/13
Delonte West,1223166,1374112,2012/13
Damien Wilkins,1223166,1374112,2012/13
Royal Ivey,1223166,1374112,2012/13
Lazar Hayward,1209260,1358489,2012/13
John Jenkins,1204560,1353210,2012/13
Jordan Crawford,1198680,1346604,2012/13
Dominic McGuire,1195578,1343118,2012/13
MarShon Brooks,1193280,1340538,2012/13
Greivis Vasquez,1191240,1338246,2012/13
Christian Eyenga,1174080,1318968,2012/13
Jared Cunningham,1156320,1299017,2012/13
Jordan Hamilton,1153800,1296186,2012/13
Nate Robinson,1146337,1287802,2012/13
Ronny Turiaf,1146337,1287802,2012/13
Ronnie Price,1146337,1287802,2012/13
JaJuan Johnson,1120440,1258709,2012/13
Norris Cole,1113600,1251025,2012/13
Josh Howard,1113560,1250980,2012/13
Tony Wroten,1110120,1247115,2012/13
Cory Joseph,1105560,1241992,2012/13
Jimmy Butler,1097520,1232960,2012/13
Patrick Mills,1085120,1219030,2012/13
Miles Plumlee,1073280,1205729,2012/13
Ryan Hollins,1069509,1201493,2012/13
Ronnie Brewer,1069509,1201493,2012/13
Luke Harangody,1054389,1184507,2012/13
DeJuan Blair,1054000,1184070,2012/13
Arnett Moultrie,1042320,1170948,2012/13
Devin Ebanks,1040000,1168342,2012/13
Perry Jones,1035960,1163803,2012/13
Festus Ezeli,1020960,1146952,2012/13
Mickael Pietrus,1005096,1129131,2012/13
Kyle Singler,1000000,1123406,2012/13
Jon Brockman,1000000,1123406,2012/13
CJ Watson,992680,1115182,2012/13
Kelenna Azubuike,992680,1115182,2012/13
Brandan Wright,992680,1115182,2012/13
Ishmael Smith,985000,1106555,2012/13
Gary Neal,972000,1091950,2012/13
Ivan Johnson,962195,1080935,2012/13
Chase Budinger,942293,1058577,2012/13
Darius Morris,937195,1052850,2012/13
Anthony Tolliver,915852,1028873,2012/13
Cartier Martin,915852,1028873,2012/13
Lance Stephenson,915243,1028189,2012/13
James Anderson,902002,1013313,2012/13
Chandler Parsons,888250,997865,2012/13
Hasheem Thabeet,885120,994349,2012/13
Alan Anderson,885120,994349,2012/13
DeMarre Carroll,885120,994349,2012/13
AJ Price,885120,994349,2012/13
Marquis Teague,857000,962759,2012/13
Keith Bogans,854389,959825,2012/13
Jeff Ayres,854389,959825,2012/13
Matt Barnes,854389,959825,2012/13
Dexter Pittman,854389,959825,2012/13
Will Conroy,854389,959825,2012/13
James White,854389,959825,2012/13
Draymond Green,850000,954895,2012/13
Tyler Honeycutt,850000,954895,2012/13
Brad Miller,848000,952648,2012/13
Mike James,795400,893557,2012/13
Kyle O'Quinn,788872,886223,2012/13
Jeremy Tyler,762195,856254,2012/13
Cory Higgins,762195,856254,2012/13
Josh Selby,762195,856254,2012/13
Julyan Stone,762195,856254,2012/13
Greg Smith,762195,856254,2012/13
Trey Thompkins,762195,856254,2012/13
Jon Leuer,762195,856254,2012/13
Malcolm Lee,762195,856254,2012/13
Lance Thomas,762195,856254,2012/13
DeAndre Liggins,762195,856254,2012/13
Daniel Orton,762195,856254,2012/13
Justin Harper,762195,856254,2012/13
E'Twaun Moore,762195,856254,2012/13
Charles Jenkins,762195,856254,2012/13
PJ Tucker,762195,856254,2012/13
Isaiah Thomas,762195,856254,2012/13
Shelvin Mack,761800,855809,2012/13
Sam Young,761319,855270,2012/13
Jannero Pargo,696446,782390,2012/13
Quincy Acy,665000,747065,2012/13
Jeff Adrien,653356,733984,2012/13
Doron Lamb,650000,730214,2012/13
Jae Crowder,600491,674595,2012/13
Garrett Temple,572943,643647,2012/13
Jeffery Taylor,550000,617873,2012/13
Orlando Johnson,550000,617873,2012/13
Will Barton,550000,617873,2012/13
Chris Johnson,508586,571348,2012/13
Mike Scott,473604,532049,2012/13
Tyshawn Taylor,473604,532049,2012/13
Tornike Shengelia,473604,532049,2012/13
Bernard James,473604,532049,2012/13
Quincy Miller,473604,532049,2012/13
Kim English,473604,532049,2012/13
Khris Middleton,473604,532049,2012/13
Kent Bazemore,473604,532049,2012/13
Ben Hansbrough,473604,532049,2012/13
Robert Sacre,473604,532049,2012/13
Brian Roberts,473604,532049,2012/13
Darius Miller,473604,532049,2012/13
Chris Copeland,473604,532049,2012/13
Pablo Prigioni,473604,532049,2012/13
DeQuan Jones,473604,532049,2012/13
Diante Garrett,473604,532049,2012/13
Luke Zeller,473604,532049,2012/13
Kevin Murphy,473604,532049,2012/13
Mickael Gelabale,452323,508142,2012/13
Kenyon Martin,429516,482520,2012/13
Jordan Williams,420000,471830,2012/13
Kevin Jones,390000,438128,2012/13
Juwan Howard,373838,419971,2012/13
Josh Harrellson,358680,402943,2012/13
Samardo Samuels,346781,389575,2012/13
Earl Barron,339726,381650,2012/13
Maalik Wayns,334308,375562,2012/13
Jarvis Varnado,314806,353654,2012/13
Terrel Harris,304878,342501,2012/13
Donald Sloan,300395,337464,2012/13
Micheal Eric,300000,337021,2012/13
Patrick Beverley,298092,334878,2012/13
Terrence Williams,296775,333398,2012/13
Travis Leslie,294835,331218,2012/13
Shavlik Randolph,280286,314875,2012/13
DJ White,263980,296556,2012/13
Aron Baynes,239588,269154,2012/13
Dionte Christmas,236800,266022,2012/13
Troy Murphy,226619,254585,2012/13
Kris Joseph,225657,253502,2012/13
Scott Machado,225657,253503,2012/13
Darius Johnson-Odom,195013,219078,2012/13
Malcolm Thomas,179340,201470,2012/13
DaJuan Summers,177024,198869,2012/13
Chris Quinn,169339,190236,2012/13
Tim Ohlbrecht,142081,159614,2012/13
Tracy McGrady,79540,89355,2012/13
Justin Holiday,76220,85626,2012/13
Chris Douglas-Roberts,72892,81887,2012/13
Solomon Jones,62912,70675,2012/13
Jerel McNeal,61289,68852,2012/13
Damion James,50258,56460,2012/13
Justin Dentmon,44835,50367,2012/13
Andrew Goudelock,44835,50367,2012/13
Josh Akognon,41788,46944,2012/13
Eddy Curry,31629,35532,2012/13
Chris Wright,27859,31296,2012/13
Henry Sims,25073,28167,2012/13
Kobe Bryant,25244493,28831724,2011/12
Vince Carter,21300000,24326720,2011/12
Kevin Garnett,21247044,24266239,2011/12
Tim Duncan,21164619,24172102,2011/12
Rashard Lewis,21136631,24140137,2011/12
Gilbert Arenas,19269307,22007467,2011/12
Dirk Nowitzki,19092873,21805962,2011/12
Pau Gasol,18714150,21373422,2011/12
Carmelo Anthony,18518574,21150055,2011/12
Amare Stoudemire,18217705,20806433,2011/12
Dwight Howard,18091770,20662602,2011/12
Joe Johnson,18038573,20601846,2011/12
Richard Hamilton,17500000,19986741,2011/12
Elton Brand,17059727,19483906,2011/12
Deron Williams,16359805,18684526,2011/12
Chris Paul,16359805,18684526,2011/12
Brandon Roy,16032144,18310304,2011/12
LeBron James,16022500,18299290,2011/12
Chris Bosh,16022500,18299290,2011/12
Dwyane Wade,15691000,17920684,2011/12
Kevin Durant,15506632,17710117,2011/12
Paul Pierce,15333334,17512194,2011/12
Baron Davis,15252181,17419509,2011/12
Zach Randolph,15200000,17359913,2011/12
Antawn Jamison,15076715,17219109,2011/12
Rudy Gay,15032144,17168205,2011/12
Andrew Bynum,14900000,17017283,2011/12
Chauncey Billups,14200000,16217813,2011/12
Chris Kaman,14030000,16023657,2011/12
Al Jefferson,14000000,15989394,2011/12
Andre Iguodala,13531750,15454605,2011/12
Carlos Boozer,13500000,15418344,2011/12
Tyson Chandler,13107837,14970455,2011/12
Nenê,13000000,14847294,2011/12
Manu Ginobili,12981038,14825637,2011/12
Marc Gasol,12922194,14758432,2011/12
Emeka Okafor,12541812,14323998,2011/12
Tony Parker,12500000,14276244,2011/12
Josh Smith,12400000,14162034,2011/12
LaMarcus Aldridge,12372000,14130055,2011/12
Luol Deng,12325000,14076377,2011/12
Danny Granger,12015904,13723358,2011/12
Al Horford,12000000,13705194,2011/12
Joakim Noah,12000000,13705194,2011/12
Andrew Bogut,12000000,13705194,2011/12
Steve Nash,11689062,13350072,2011/12
David Lee,11610000,13259776,2011/12
Ben Gordon,11600000,13248355,2011/12
Kevin Martin,11519840,13156804,2011/12
Marcus Camby,11227250,12822637,2011/12
Jason Terry,11158000,12743547,2011/12
Hidayet Turkoglu,11015850,12581197,2011/12
Monta Ellis,11000000,12563095,2011/12
Mehmet Okur,10890000,12437464,2011/12
Corey Maggette,10262069,11720304,2011/12
Jason Kidd,10121000,11559189,2011/12
DeAndre Jordan,10079404,11511683,2011/12
Rajon Rondo,10045455,11472909,2011/12
Ray Allen,10000000,11420995,2011/12
David West,10000000,11420995,2011/12
Jose Calderon,9780992,11170866,2011/12
Gerald Wallace,9500000,10849945,2011/12
Devin Harris,9319000,10643225,2011/12
Richard Jefferson,9282000,10600968,2011/12
Stephen Jackson,9256500,10571844,2011/12
Andrea Bargnani,9250000,10564421,2011/12
Boris Diaw,9000000,10278896,2011/12
Andris Biedrins,9000000,10278896,2011/12
Lamar Odom,8900000,10164686,2011/12
Luis Scola,8591793,9812683,2011/12
Rodney Stuckey,8500000,9707846,2011/12
Maurice Williams,8500000,9707846,2011/12
Carl Landry,8500000,9707846,2011/12
John Salmons,8500000,9707846,2011/12
Paul Millsap,8103435,9254929,2011/12
Kirk Hinrich,8100000,9251006,2011/12
Shawn Marion,8022449,9162435,2011/12
Kris Humphries,8000000,9136796,2011/12
Caron Butler,8000000,9136796,2011/12
Andre Miller,7807728,8917202,2011/12
Jameer Nelson,7800000,8908376,2011/12
Anderson Varejao,7700000,8794166,2011/12
Brendan Haywood,7624500,8707938,2011/12
Leandro Barbosa,7600000,8679956,2011/12
James Posey,7595600,8674931,2011/12
Arron Afflalo,7562500,8637128,2011/12
Raymond Felton,7560000,8634272,2011/12
Charlie Villanueva,7540000,8611430,2011/12
Marvin Williams,7500000,8565746,2011/12
Thaddeus Young,7478261,8540918,2011/12
Tyrus Thomas,7305765,8343911,2011/12
Kendrick Perkins,7123626,8135890,2011/12
Travis Outlaw,7000000,7994696,2011/12
Samuel Dalembert,7000000,7994697,2011/12
Marcus Thornton,7000000,7994697,2011/12
Derrick Rose,6993708,7987510,2011/12
DeSagana Diop,6925400,7909496,2011/12
Beno Udrih,6925400,7909496,2011/12
Metta World Peace,6790640,7755587,2011/12
Trevor Ariza,6790640,7755587,2011/12
Marcin Gortat,6790640,7755587,2011/12
Kwame Brown,6750000,7709172,2011/12
JJ Redick,6750000,7709172,2011/12
Andres Nocioni,6650000,7594962,2011/12
Mike Conley,6611571,7551072,2011/12
Mickael Pietrus,6523166,7450104,2011/12
Grant Hill,6500000,7423647,2011/12
Andray Blatche,6442083,7357500,2011/12
Glen Davis,6300000,7195227,2011/12
Tayshaun Prince,6292135,7186244,2011/12
Michael Beasley,6262347,7152223,2011/12
Jermaine O'Neal,6226200,7110940,2011/12
Al Harrington,6226200,7110940,2011/12
Drew Gooden,6226200,7110940,2011/12
Wesley Matthews,6135160,7006963,2011/12
Josh Childress,6000000,6852597,2011/12
Francisco Garcia,5800000,6624177,2011/12
Kyle Lowry,5750000,6567072,2011/12
Blake Griffin,5731080,6545464,2011/12
Luke Walton,5680000,6487125,2011/12
OJ Mayo,5632637,6433032,2011/12
Channing Frye,5600000,6395757,2011/12
John Wall,5530080,6315902,2011/12
Amir Johnson,5500000,6281547,2011/12
Nate Robinson,5483307,6262482,2011/12
Mike Miller,5400000,6167337,2011/12
Jason Richardson,5395000,6161627,2011/12
Martell Webster,5256000,6002875,2011/12
Chuck Hayes,5250000,5996022,2011/12
Louis Williams,5176000,5911507,2011/12
Kyrie Irving,5144280,5875279,2011/12
Hasheem Thabeet,5127720,5856366,2011/12
Russell Westbrook,5082416,5804625,2011/12
Kyle Korver,5000000,5710497,2011/12
Jason Maxiell,5000000,5710497,2011/12
Luc Mbah a Moute,5000000,5710497,2011/12
Jarrett Jack,5000000,5710497,2011/12
Jamal Crawford,5000000,5710497,2011/12
Evan Turner,4947840,5650925,2011/12
Darko Milicic,4776500,5455238,2011/12
Brad Miller,4752000,5427257,2011/12
Zaza Pachulia,4750000,5424972,2011/12
Ronnie Brewer,4710000,5379288,2011/12
Kevin Love,4609701,5264737,2011/12
Linas Kleiza,4605000,5259368,2011/12
James Harden,4604760,5259094,2011/12
Derrick Williams,4602720,5256764,2011/12
Nikola Pekovic,4503600,5143559,2011/12
Jonas Jerebko,4500000,5139448,2011/12
Derrick Favors,4443360,5074759,2011/12
Daniel Gibson,4403834,5029616,2011/12
Ronny Turiaf,4360000,4979554,2011/12
Jose Juan Barea,4300000,4911028,2011/12
Ramon Sessions,4257973,4863029,2011/12
Brandon Bass,4250000,4853923,2011/12
Randy Foye,4250000,4853923,2011/12
Jared Dudley,4250000,4853923,2011/12
Chris Andersen,4234000,4835649,2011/12
Danilo Gallinari,4190182,4785605,2011/12
Tyreke Evans,4151640,4741586,2011/12
Enes Kanter,4133280,4720617,2011/12
Charlie Bell,4099920,4682516,2011/12
Spencer Hawes,4051024,4626672,2011/12
Wesley Johnson,4006080,4575342,2011/12
Jordan Farmar,4000000,4568398,2011/12
Anthony Morrow,4000000,4568398,2011/12
Ryan Gomes,4000000,4568398,2011/12
Steve Blake,4000000,4568398,2011/12
Mario Chalmers,4000000,4568398,2011/12
Hakim Warrick,4000000,4568398,2011/12
Matt Carroll,3900000,4454188,2011/12
Eric Gordon,3831184,4375593,2011/12
Dorell Wright,3823000,4366246,2011/12
Udonis Haslem,3780000,4317136,2011/12
Mike Dunleavy,3750000,4282873,2011/12
Nazr Mohammed,3750000,4282873,2011/12
Tristan Thompson,3726600,4256148,2011/12
CJ Miles,3700000,4225768,2011/12
Nick Young,3695857,4221036,2011/12
Luke Ridnour,3680000,4202926,2011/12
Tiago Splitter,3672000,4193789,2011/12
DeMarcus Cousins,3627720,4143217,2011/12
Joel Anthony,3600000,4111558,2011/12
Shaun Livingston,3500000,3997348,2011/12
Carlos Delfino,3500000,3997348,2011/12
Chris Duhon,3500000,3997348,2011/12
Shannon Brown,3500000,3997348,2011/12
Ricky Rubio,3480120,3974643,2011/12
Jonny Flynn,3414720,3899950,2011/12
CJ Watson,3400000,3883138,2011/12
Derek Fisher,3400000,3883138,2011/12
Marco Belinelli,3377604,3857560,2011/12
Timofey Mozgov,3343896,3819062,2011/12
Daequan Cook,3341558,3816391,2011/12
Matt Bonner,3315000,3786060,2011/12
Thabo Sefolosha,3300000,3768928,2011/12
Ekpe Udoh,3294960,3763172,2011/12
Nick Collison,3272997,3738088,2011/12
Johan Petro,3250000,3711823,2011/12
Will Bynum,3250000,3711823,2011/12
Raja Bell,3240000,3700402,2011/12
DJ Augustin,3236470,3696371,2011/12
Tony Allen,3150000,3597613,2011/12
Stephen Curry,3117120,3560061,2011/12
Brook Lopez,3076983,3514220,2011/12
Jan Vesely,3065040,3500580,2011/12
Corey Brewer,3059000,3493682,2011/12
Jerryd Bayless,3042280,3474586,2011/12
Greg Monroe,3007920,3435344,2011/12
Jason Thompson,3001284,3427765,2011/12
Chris Wilcox,3000000,3426298,2011/12
Shawne Williams,3000000,3426298,2011/12
Jeff Foster,3000000,3426298,2011/12
Josh McRoberts,3000000,3426298,2011/12
Shane Battier,3000000,3426298,2011/12
Brandon Rush,2956658,3376797,2011/12
Anthony Randolph,2911231,3324915,2011/12
Robin Lopez,2862602,3269376,2011/12
Jordan Hill,2855760,3261562,2011/12
Bismack Biyombo,2798040,3195640,2011/12
Al-Farouq Aminu,2755560,3147123,2011/12
Eduardo Najera,2750000,3140773,2011/12
Marreese Speights,2721255,3107944,2011/12
Dahntay Jones,2700000,3083668,2011/12
Antonio McDyess,2640000,3015142,2011/12
DeMar DeRozan,2625000,2998011,2011/12
Roy Hibbert,2588590,2956427,2011/12
Brandon Knight,2563320,2927566,2011/12
Ersan Ilyasova,2541000,2902075,2011/12
Gordon Hayward,2532960,2892892,2011/12
DeShawn Stevenson,2500000,2855248,2011/12
Reggie Williams,2500000,2855248,2011/12
Kenyon Martin,2500000,2855248,2011/12
Jason Smith,2500000,2855248,2011/12
Aaron Gray,2500000,2855248,2011/12
Brandon Jennings,2493720,2848076,2011/12
Ryan Hollins,2483333,2836213,2011/12
JaVale McGee,2462400,2812305,2011/12
Quentin Richardson,2446600,2794260,2011/12
Paul George,2406240,2748165,2011/12
Louis Amundson,2403000,2744465,2011/12
JR Smith,2382353,2720884,2011/12
Terrence Williams,2369040,2705679,2011/12
Kemba Walker,2356320,2691152,2011/12
JJ Hickson,2354537,2689115,2011/12
Cole Aldrich,2286000,2610839,2011/12
Gerald Henderson,2250600,2570409,2011/12
Anthony Parker,2250000,2569724,2011/12
Keyon Dooling,2246400,2565612,2011/12
Ben Wallace,2246400,2565612,2011/12
Ryan Anderson,2244601,2563557,2011/12
Jimmer Fredette,2238360,2556430,2011/12
Courtney Lee,2225093,2541277,2011/12
Kosta Koufos,2203792,2516949,2011/12
Rudy Fernandez,2180443,2490283,2011/12
Xavier Henry,2171640,2480229,2011/12
Nicolas Batum,2155365,2461641,2011/12
Josh Howard,2150000,2455514,2011/12
Tyler Hansbrough,2138040,2441854,2011/12
Klay Thompson,2126520,2428697,2011/12
Goran Dragic,2108000,2407545,2011/12
George Hill,2086360,2382830,2011/12
Ed Davis,2063040,2356197,2011/12
Anthony Tolliver,2050000,2341304,2011/12
Darrell Arthur,2027119,2315171,2011/12
Alec Burks,2020200,2307269,2011/12
Donte Greene,2015896,2302353,2011/12
DJ White,2001167,2285531,2011/12
Dante Cunningham,2000000,2284199,2011/12
Earl Watson,2000000,2284199,2011/12
Patrick Patterson,1959960,2238469,2011/12
Austin Daye,1929600,2203795,2011/12
Markieff Morris,1919160,2191871,2011/12
Matt Barnes,1906200,2177070,2011/12
Larry Sanders,1861920,2126498,2011/12
Omer Asik,1857500,2121449,2011/12
James Johnson,1833120,2093605,2011/12
Marcus Morris,1823280,2082367,2011/12
Luke Babbitt,1768800,2020145,2011/12
Jrue Holiday,1741440,1988897,2011/12
Kawhi Leonard,1731960,1978070,2011/12
Kevin Seraphin,1680360,1919138,2011/12
Renaldo Balkman,1675000,1913016,2011/12
Ty Lawson,1654440,1889535,2011/12
Nikola Vucevic,1645400,1879210,2011/12
Eric Bledsoe,1596360,1823202,2011/12
Jeff Teague,1579920,1804425,2011/12
Gustavo Ayon,1567500,1790241,2011/12
Iman Shumpert,1563120,1785238,2011/12
Avery Bradley,1524480,1741107,2011/12
Eric Maynor,1516680,1732199,2011/12
Jeff Ayres,1500000,1713149,2011/12
James Jones,1500000,1713149,2011/12
Sebastian Telfair,1500000,1713149,2011/12
Greg Oden,1500000,1713149,2011/12
Gary Forbes,1500000,1713149,2011/12
Chris Singleton,1485000,1696017,2011/12
James Anderson,1463520,1671485,2011/12
Darren Collison,1455960,1662851,2011/12
Tobias Harris,1418160,1619679,2011/12
Craig Brackins,1404960,1604604,2011/12
Jerry Stackhouse,1352181,1544325,2011/12
Jason Collins,1352181,1544325,2011/12
Tracy McGrady,1352181,1544325,2011/12
Vladimir Radmanovic,1352181,1544325,2011/12
Brian Scalabrine,1352181,1544325,2011/12
Brian Cardinal,1352181,1544325,2011/12
Troy Murphy,1352181,1544325,2011/12
Juwan Howard,1352181,1544325,2011/12
Eddie House,1352181,1544325,2011/12
Mike Bibby,1352181,1544325,2011/12
Tony Battie,1352181,1544325,2011/12
Kurt Thomas,1352181,1544325,2011/12
Jamaal Magloire,1352181,1544325,2011/12
Anthony Carter,1352181,1544325,2011/12
Elliot Williams,1348800,1540463,2011/12
Omri Casspi,1341960,1532651,2011/12
Michael Redd,1308506,1494444,2011/12
Nolan Smith,1306920,1492632,2011/12
Hamed Haddadi,1300000,1484729,2011/12
Trevor Booker,1294920,1478927,2011/12
BJ Mullens,1288200,1471252,2011/12
Serge Ibaka,1288200,1471252,2011/12
Kenneth Faried,1254720,1433015,2011/12
Damion James,1243080,1419721,2011/12
Rodrigue Beaubois,1236720,1412457,2011/12
Reggie Evans,1229255,1403931,2011/12
Eddy Curry,1229255,1403931,2011/12
Jared Jeffries,1229255,1403931,2011/12
Rasual Butler,1229255,1403931,2011/12
Jamaal Tinsley,1229255,1403931,2011/12
Jannero Pargo,1223166,1396977,2011/12
Willie Green,1223166,1396977,2011/12
Marquis Daniels,1223166,1396977,2011/12
Aleksandar Pavlovic,1223166,1396977,2011/12
Brian Cook,1223166,1396977,2011/12
Jason Kapono,1223166,1396977,2011/12
Maurice Evans,1223166,1396977,2011/12
Royal Ivey,1200000,1370519,2011/12
Taj Gibson,1195680,1365585,2011/12
Dominique Jones,1193280,1362844,2011/12
Earl Clark,1160000,1324835,2011/12
Reggie Jackson,1156320,1320632,2011/12
Wayne Ellington,1154040,1318028,2011/12
Quincy Pondexter,1153800,1317754,2011/12
Delonte West,1146337,1309230,2011/12
Damien Wilkins,1146337,1309230,2011/12
TJ Ford,1146337,1309230,2011/12
Roger Mason,1146337,1309230,2011/12
Toney Douglas,1145640,1308434,2011/12
Joel Przybilla,1145027,1307734,2011/12
Jordan Crawford,1120440,1279654,2011/12
Greivis Vasquez,1113600,1271842,2011/12
MarShon Brooks,1110120,1267867,2011/12
Daniel Orton,1105560,1262659,2011/12
Christian Eyenga,1097520,1253477,2011/12
Lazar Hayward,1097520,1253477,2011/12
Jordan Hamilton,1073286,1225799,2011/12
Ronnie Price,1069509,1221485,2011/12
JaJuan Johnson,1042320,1190433,2011/12
Norris Cole,1035960,1183169,2011/12
Cory Joseph,1028400,1174535,2011/12
Jimmy Butler,1020960,1166037,2011/12
Jeremy Pargo,1000000,1142099,2011/12
Jon Brockman,1000000,1142099,2011/12
Shelden Williams,992680,1133739,2011/12
Steve Novak,992680,1133739,2011/12
Von Wafer,992680,1133739,2011/12
Craig Smith,992680,1133739,2011/12
DeJuan Blair,986000,1126110,2011/12
Sam Young,947800,1082481,2011/12
John Lucas,915852,1045994,2011/12
Ian Mahinmi,915852,1045994,2011/12
