Team,Season,W/L%,PER_Unit_1,PER_Unit_2,PER_Unit_combined,PER_Unit_1_Rank,PER_Unit_2_Rank,PER_Unit_combined_Rank,DRtg_Unit_1,DRtg_Unit_2,DRtg_Unit_combined,DRtg_Unit_1_Rank,DRtg_Unit_2_Rank,DRtg_Unit_combined_Rank
Orlando Magic,2018/19,0.512,84.0,54.8,138.8,12.0,26.0,25.0,544.0,539.0,1083.0,18.0,18.0,20.0
Brooklyn Nets,2018/19,0.512,79.8,56.3,136.1,17.0,25.0,28.0,553.0,545.0,1098.0,13.0,15.0,15.0
Detroit Pistons,2018/19,0.5,77.19999999999999,58.2,135.39999999999998,20.0,22.0,29.0,545.0,551.0,1096.0,17.0,13.0,16.0
Miami Heat,2018/19,0.476,74.9,69.2,144.10000000000002,25.0,8.0,20.0,539.0,536.0,1075.0,19.0,20.0,22.0
Sacramento Kings,2018/19,0.476,83.1,64.1,147.2,13.0,17.0,16.0,556.0,564.0,1120.0,11.0,6.0,10.0
Charlotte Hornets,2018/19,0.476,76.6,78.0,154.6,22.0,1.0,8.0,561.0,565.0,1126.0,8.0,5.0,8.0
Los Angeles Lakers,2018/19,0.451,75.2,68.6,143.8,24.0,9.0,21.0,554.0,541.0,1095.0,12.0,16.0,17.0
Minnesota Timberwolves,2018/19,0.439,80.2,75.3,155.5,16.0,2.0,7.0,562.0,570.0,1132.0,7.0,3.0,6.0
Dallas Mavericks,2018/19,0.402,76.9,64.6,141.5,21.0,16.0,23.0,557.0,551.0,1108.0,10.0,13.0,12.0
New Orleans Pelicans,2018/19,0.402,90.6,59.3,149.89999999999998,7.0,20.0,12.0,562.0,570.0,1132.0,7.0,3.0,6.0
Memphis Grizzlies,2018/19,0.402,72.19999999999999,67.7,139.89999999999998,26.0,10.0,24.0,545.0,541.0,1086.0,17.0,16.0,19.0
Washington Wizards,2018/19,0.39,82.5,73.9,156.4,14.0,3.0,5.0,573.0,564.0,1137.0,4.0,6.0,4.0
Atlanta Hawks,2018/19,0.354,71.6,72.8,144.39999999999998,28.0,5.0,19.0,572.0,567.0,1139.0,5.0,4.0,3.0
Chicago Bulls,2018/19,0.268,75.7,61.3,137.0,23.0,19.0,27.0,567.0,562.0,1129.0,6.0,8.0,7.0
Phoenix Suns,2018/19,0.2319999999999999,78.4,66.3,144.7,18.0,14.0,18.0,576.0,572.0,1148.0,2.0,2.0,2.0
Cleveland Cavaliers,2018/19,0.2319999999999999,71.9,71.8,143.7,27.0,6.0,22.0,589.0,587.0,1176.0,1.0,1.0,1.0
New York Knicks,2018/19,0.207,62.4,72.8,135.2,29.0,5.0,30.0,575.0,561.0,1136.0,3.0,9.0,5.0
Houston Rockets,2017/18,0.7929999999999999,89.6,77.8,167.39999999999998,6.0,3.0,1.0,529.0,533.0,1062.0,19.0,16.0,19.0
Toronto Raptors,2017/18,0.72,92.2,72.9,165.10000000000002,4.0,7.0,2.0,529.0,531.0,1060.0,19.0,18.0,20.0
Golden State Warriors,2017/18,0.7070000000000001,97.5,66.9,164.4,1.0,16.0,3.0,540.0,540.0,1080.0,13.0,13.0,16.0
Boston Celtics,2017/18,0.6709999999999999,86.5,58.0,144.5,10.0,28.0,18.0,521.0,519.0,1040.0,21.0,23.0,23.0
Philadelphia 76ers,2017/18,0.634,87.5,59.3,146.8,9.0,24.0,17.0,522.0,530.0,1052.0,20.0,19.0,21.0
Cleveland Cavaliers,2017/18,0.61,87.60000000000001,62.0,149.60000000000002,8.0,22.0,11.0,560.0,562.0,1122.0,2.0,1.0,2.0
Portland Trail Blazers,2017/18,0.598,83.3,59.1,142.4,14.0,25.0,23.0,532.0,532.0,1064.0,18.0,17.0,18.0
Utah Jazz,2017/18,0.585,86.0,67.4,153.4,12.0,14.0,8.0,517.0,520.0,1037.0,22.0,22.0,24.0
Oklahoma City Thunder,2017/18,0.585,92.9,48.3,141.2,3.0,30.0,25.0,534.0,543.0,1077.0,17.0,12.0,17.0
New Orleans Pelicans,2017/18,0.585,90.7,58.3,149.0,5.0,27.0,14.0,538.0,550.0,1088.0,15.0,9.0,14.0
Indiana Pacers,2017/18,0.585,81.6,76.8,158.39999999999998,16.0,4.0,4.0,543.0,537.0,1080.0,11.0,15.0,16.0
San Antonio Spurs,2017/18,0.573,83.0,69.2,152.2,15.0,12.0,9.0,521.0,527.0,1048.0,21.0,20.0,22.0
Minnesota Timberwolves,2017/18,0.573,93.4,63.7,157.10000000000002,2.0,20.0,6.0,554.0,560.0,1114.0,7.0,2.0,3.0
