Team,Season,W/L%,PER_Unit_1,PER_Unit_2,PER_Unit_combined,PER_Unit_1_Rank,PER_Unit_2_Rank,PER_Unit_combined_Rank,DRtg_Unit_1,DRtg_Unit_2,DRtg_Unit_combined,DRtg_Unit_1_Rank,DRtg_Unit_2_Rank,DRtg_Unit_combined_Rank
Memphis Grizzlies,2008/09,0.293,77.4,52.4,129.8,23.0,29.0,28.0,551.0,546.0,1097.0,9.0,9.0,9.0
Oklahoma City Thunder,2008/09,0.28,74.2,56.8,131.0,26.0,26.0,26.0,550.0,545.0,1095.0,10.0,10.0,10.0
Washington Wizards,2008/09,0.2319999999999999,78.3,58.0,136.3,20.0,24.0,24.0,566.0,572.0,1138.0,3.0,3.0,3.0
Los Angeles Clippers,2008/09,0.2319999999999999,71.1,68.0,139.1,27.0,8.0,23.0,558.0,558.0,1116.0,5.0,5.0,5.0
Sacramento Kings,2008/09,0.207,69.3,61.1,130.39999999999998,28.0,21.0,27.0,573.0,576.0,1149.0,1.0,2.0,2.0
Boston Celtics,2007/08,0.805,90.2,67.9,158.10000000000002,4.0,11.0,7.0,492.0,496.0,988.0,25.0,26.0,25.0
Detroit Pistons,2007/08,0.72,88.7,71.2,159.9,5.0,6.0,5.0,515.0,509.0,1024.0,22.0,24.0,22.0
Los Angeles Lakers,2007/08,0.695,82.6,89.3,171.89999999999998,14.0,1.0,1.0,532.0,526.0,1058.0,14.0,23.0,20.0
New Orleans Hornets,2007/08,0.6829999999999999,92.6,51.2,143.8,2.0,29.0,15.0,528.0,534.0,1062.0,18.0,18.0,18.0
San Antonio Spurs,2007/08,0.6829999999999999,87.1,56.5,143.6,8.0,26.0,16.0,512.0,509.0,1021.0,23.0,24.0,23.0
Houston Rockets,2007/08,0.6709999999999999,81.9,74.8,156.7,16.0,3.0,9.0,509.0,499.0,1008.0,24.0,25.0,24.0
Phoenix Suns,2007/08,0.6709999999999999,87.0,75.9,162.9,9.0,2.0,2.0,547.0,527.0,1074.0,8.0,22.0,12.0
Utah Jazz,2007/08,0.659,93.5,64.7,158.2,1.0,13.0,6.0,531.0,537.0,1068.0,15.0,16.0,16.0
Orlando Magic,2007/08,0.634,83.8,60.3,144.1,12.0,19.0,14.0,526.0,533.0,1059.0,20.0,19.0,19.0
Dallas Mavericks,2007/08,0.622,91.9,70.7,162.60000000000002,3.0,7.0,3.0,527.0,528.0,1055.0,19.0,21.0,21.0
Denver Nuggets,2007/08,0.61,86.7,61.6,148.3,10.0,18.0,10.0,525.0,547.0,1072.0,21.0,8.0,13.0
Golden State Warriors,2007/08,0.585,88.5,69.5,158.0,6.0,8.0,8.0,548.0,546.0,1094.0,7.0,9.0,8.0
Cleveland Cavaliers,2007/08,0.5489999999999999,83.3,56.2,139.5,13.0,27.0,21.0,531.0,538.0,1069.0,15.0,15.0,15.0
Washington Wizards,2007/08,0.524,85.6,59.3,144.89999999999998,11.0,20.0,13.0,548.0,549.0,1097.0,7.0,7.0,6.0
Toronto Raptors,2007/08,0.5,87.3,73.5,160.8,7.0,4.0,4.0,530.0,540.0,1070.0,16.0,14.0,14.0
Portland Trail Blazers,2007/08,0.5,78.6,61.7,140.3,19.0,17.0,20.0,546.0,541.0,1087.0,9.0,13.0,10.0
Philadelphia 76ers,2007/08,0.488,76.8,66.5,143.3,22.0,12.0,17.0,529.0,535.0,1064.0,17.0,17.0,17.0
Sacramento Kings,2007/08,0.4629999999999999,82.0,63.2,145.2,15.0,14.0,12.0,548.0,554.0,1102.0,7.0,4.0,5.0
Atlanta Hawks,2007/08,0.451,83.3,58.3,141.6,13.0,24.0,18.0,541.0,556.0,1097.0,12.0,3.0,6.0
Indiana Pacers,2007/08,0.439,77.3,62.2,139.5,21.0,16.0,21.0,534.0,542.0,1076.0,13.0,12.0,11.0
New Jersey Nets,2007/08,0.415,79.1,58.4,137.5,18.0,23.0,23.0,547.0,545.0,1092.0,8.0,10.0,9.0
Chicago Bulls,2007/08,0.402,71.9,69.4,141.3,27.0,9.0,19.0,542.0,532.0,1074.0,11.0,20.0,12.0
Charlotte Bobcats,2007/08,0.39,77.8,57.7,135.5,20.0,25.0,25.0,544.0,553.0,1097.0,10.0,5.0,6.0
Milwaukee Bucks,2007/08,0.317,80.5,53.400000000000006,133.9,17.0,28.0,27.0,564.0,564.0,1128.0,1.0,1.0,1.0
New York Knicks,2007/08,0.28,75.8,59.1,134.9,24.0,21.0,26.0,559.0,562.0,1121.0,3.0,2.0,2.0
Los Angeles Clippers,2007/08,0.28,73.2,59.0,132.2,26.0,22.0,29.0,544.0,550.0,1094.0,10.0,6.0,8.0
Memphis Grizzlies,2007/08,0.268,75.9,71.4,147.3,23.0,5.0,11.0,560.0,554.0,1114.0,2.0,4.0,3.0
Minnesota Timberwolves,2007/08,0.268,75.5,62.3,137.8,25.0,15.0,22.0,558.0,556.0,1114.0,4.0,3.0,3.0
Seattle SuperSonics,2007/08,0.244,66.5,69.1,135.6,29.0,10.0,24.0,551.0,544.0,1095.0,6.0,11.0,7.0
Miami Heat,2007/08,0.183,70.3,63.2,133.5,28.0,14.0,28.0,553.0,550.0,1103.0,5.0,6.0,4.0
Dallas Mavericks,2006/07,0.8170000000000001,97.4,55.8,153.2,2.0,27.0,8.0,516.0,514.0,1030.0,20.0,21.0,24.0
Phoenix Suns,2006/07,0.7440000000000001,98.1,59.900000000000006,158.0,1.0,23.0,3.0,531.0,538.0,1069.0,14.0,14.0,16.0
San Antonio Spurs,2006/07,0.7070000000000001,92.4,61.900000000000006,154.3,3.0,17.0,6.0,500.0,500.0,1000.0,23.0,22.0,27.0
Detroit Pistons,2006/07,0.6459999999999999,89.2,71.4,160.60000000000002,5.0,5.0,1.0,521.0,514.0,1035.0,18.0,21.0,23.0
Houston Rockets,2006/07,0.634,74.6,75.9,150.5,28.0,2.0,11.0,509.0,492.0,1001.0,21.0,23.0,26.0
Utah Jazz,2006/07,0.622,85.0,66.8,151.8,11.0,12.0,9.0,534.0,537.0,1071.0,12.0,15.0,14.0
Cleveland Cavaliers,2006/07,0.61,85.5,55.6,141.1,10.0,28.0,22.0,500.0,518.0,1018.0,23.0,20.0,25.0
Chicago Bulls,2006/07,0.598,80.39999999999999,59.0,139.39999999999998,17.0,24.0,24.0,502.0,491.0,993.0,22.0,24.0,28.0
Toronto Raptors,2006/07,0.573,81.3,67.9,149.2,14.0,9.0,13.0,527.0,534.0,1061.0,15.0,16.0,18.0
Denver Nuggets,2006/07,0.5489999999999999,90.9,56.5,147.4,4.0,26.0,17.0,523.0,538.0,1061.0,17.0,14.0,18.0
Miami Heat,2006/07,0.537,79.89999999999999,73.9,153.8,19.0,4.0,7.0,527.0,525.0,1052.0,15.0,19.0,21.0
Los Angeles Lakers,2006/07,0.512,83.9,66.9,150.8,12.0,11.0,10.0,542.0,542.0,1084.0,7.0,10.0,8.0
Golden State Warriors,2006/07,0.512,79.9,75.3,155.2,18.0,3.0,4.0,534.0,544.0,1078.0,12.0,9.0,11.0
Washington Wizards,2006/07,0.5,88.6,66.2,154.8,6.0,13.0,5.0,558.0,547.0,1105.0,3.0,7.0,6.0
New Jersey Nets,2006/07,0.5,72.8,55.0,127.8,29.0,29.0,30.0,532.0,538.0,1070.0,13.0,14.0,15.0
Orlando Magic,2006/07,0.488,79.3,60.7,140.0,21.0,22.0,23.0,518.0,528.0,1046.0,19.0,18.0,22.0
Los Angeles Clippers,2006/07,0.488,80.7,62.6,143.3,15.0,16.0,20.0,526.0,533.0,1059.0,16.0,17.0,19.0
New Orleans/Oklahoma City Hornets,2006/07,0.476,79.5,68.7,148.2,20.0,8.0,15.0,532.0,534.0,1066.0,13.0,16.0,17.0
Indiana Pacers,2006/07,0.427,74.7,67.5,142.2,26.0,10.0,21.0,521.0,533.0,1054.0,18.0,17.0,20.0
Philadelphia 76ers,2006/07,0.427,74.60000000000001,60.8,135.4,27.0,21.0,27.0,536.0,540.0,1076.0,11.0,12.0,12.0
Sacramento Kings,2006/07,0.402,80.4,58.6,139.0,16.0,25.0,25.0,541.0,539.0,1080.0,8.0,13.0,10.0
New York Knicks,2006/07,0.402,77.5,69.3,146.8,22.0,6.0,18.0,547.0,537.0,1084.0,6.0,15.0,8.0
Charlotte Bobcats,2006/07,0.402,75.9,83.8,159.7,24.0,1.0,2.0,537.0,648.0,1185.0,10.0,2.0,2.0
Minnesota Timberwolves,2006/07,0.39,75.7,61.8,137.5,25.0,18.0,26.0,542.0,649.0,1191.0,7.0,1.0,1.0
Portland Trail Blazers,2006/07,0.39,77.3,69.2,146.5,23.0,7.0,19.0,555.0,548.0,1103.0,4.0,6.0,7.0
Seattle SuperSonics,2006/07,0.3779999999999999,86.6,60.9,147.5,7.0,20.0,16.0,551.0,557.0,1108.0,5.0,4.0,5.0
Atlanta Hawks,2006/07,0.366,83.0,51.7,134.7,13.0,30.0,28.0,538.0,545.0,1083.0,9.0,8.0,9.0
Milwaukee Bucks,2006/07,0.341,85.7,63.8,149.5,9.0,14.0,12.0,561.0,554.0,1115.0,2.0,5.0,4.0
Boston Celtics,2006/07,0.293,72.6,61.2,133.8,30.0,19.0,29.0,532.0,541.0,1073.0,13.0,11.0,13.0
Memphis Grizzlies,2006/07,0.268,86.2,62.8,149.0,8.0,15.0,14.0,563.0,561.0,1124.0,1.0,3.0,3.0
Detroit Pistons,2005/06,0.78,91.5,68.7,160.2,2.0,6.0,2.0,516.0,520.0,1036.0,23.0,21.0,21.0
San Antonio Spurs,2005/06,0.768,88.1,65.3,153.39999999999998,5.0,8.0,3.0,498.0,498.0,996.0,27.0,26.0,26.0
Dallas Mavericks,2005/06,0.732,94.6,68.8,163.39999999999998,1.0,5.0,1.0,526.0,525.0,1051.0,17.0,17.0,18.0
Phoenix Suns,2005/06,0.659,90.3,59.0,149.3,3.0,20.0,7.0,531.0,532.0,1063.0,13.0,13.0,12.0
Miami Heat,2005/06,0.634,76.2,74.0,150.2,21.0,3.0,6.0,525.0,523.0,1048.0,18.0,19.0,19.0
Cleveland Cavaliers,2005/06,0.61,85.0,61.0,146.0,7.0,17.0,11.0,530.0,526.0,1056.0,14.0,16.0,15.0
Memphis Grizzlies,2005/06,0.598,83.9,65.3,149.2,8.0,8.0,8.0,507.0,512.0,1019.0,26.0,25.0,25.0
New Jersey Nets,2005/06,0.598,79.6,47.3,126.9,18.0,27.0,28.0,510.0,512.0,1022.0,25.0,25.0,24.0
Los Angeles Clippers,2005/06,0.573,83.3,61.7,145.0,10.0,16.0,14.0,517.0,521.0,1038.0,22.0,20.0,20.0
Los Angeles Lakers,2005/06,0.5489999999999999,81.4,58.3,139.7,13.0,22.0,21.0,527.0,530.0,1057.0,16.0,14.0,14.0
Sacramento Kings,2005/06,0.537,82.4,61.7,144.10000000000002,11.0,16.0,16.0,528.0,524.0,1052.0,15.0,18.0,17.0
Denver Nuggets,2005/06,0.537,79.8,67.8,147.6,17.0,7.0,10.0,519.0,534.0,1053.0,21.0,11.0,16.0
Washington Wizards,2005/06,0.512,83.8,58.1,141.9,9.0,23.0,18.0,540.0,536.0,1076.0,7.0,10.0,8.0
Indiana Pacers,2005/06,0.5,73.9,74.4,148.3,24.0,2.0,9.0,514.0,516.0,1030.0,24.0,22.0,23.0
Chicago Bulls,2005/06,0.5,74.80000000000001,62.3,137.10000000000002,22.0,15.0,24.0,521.0,515.0,1036.0,19.0,23.0,21.0
Utah Jazz,2005/06,0.5,79.4,58.9,138.3,19.0,21.0,22.0,533.0,545.0,1078.0,11.0,6.0,6.0
Milwaukee Bucks,2005/06,0.488,74.4,74.9,149.3,23.0,1.0,7.0,537.0,534.0,1071.0,9.0,11.0,10.0
Philadelphia 76ers,2005/06,0.4629999999999999,82.1,59.3,141.39999999999998,12.0,19.0,20.0,543.0,537.0,1080.0,6.0,9.0,5.0
New Orleans/Oklahoma City Hornets,2005/06,0.4629999999999999,79.8,64.2,144.0,17.0,12.0,17.0,533.0,542.0,1075.0,11.0,7.0,9.0
Orlando Magic,2005/06,0.439,78.6,72.9,151.5,20.0,4.0,5.0,538.0,539.0,1077.0,8.0,8.0,7.0
Seattle SuperSonics,2005/06,0.427,85.3,67.8,153.1,6.0,7.0,4.0,574.0,569.0,1143.0,1.0,1.0,1.0
Golden State Warriors,2005/06,0.415,80.7,60.8,141.5,15.0,18.0,19.0,532.0,529.0,1061.0,12.0,15.0,13.0
Houston Rockets,2005/06,0.415,71.5,62.5,134.0,25.0,14.0,27.0,520.0,513.0,1033.0,20.0,24.0,22.0
Boston Celtics,2005/06,0.402,80.7,65.0,145.7,15.0,9.0,12.0,536.0,530.0,1066.0,10.0,14.0,11.0
Minnesota Timberwolves,2005/06,0.402,81.3,63.6,144.89999999999998,14.0,13.0,15.0,526.0,526.0,1052.0,17.0,16.0,17.0
Toronto Raptors,2005/06,0.3289999999999999,88.4,49.1,137.5,4.0,26.0,23.0,562.0,562.0,1124.0,3.0,3.0,2.0
Charlotte Bobcats,2005/06,0.317,80.2,64.9,145.10000000000002,16.0,10.0,13.0,533.0,533.0,1066.0,11.0,12.0,11.0
Atlanta Hawks,2005/06,0.317,80.2,55.7,135.9,16.0,25.0,25.0,554.0,565.0,1119.0,5.0,2.0,3.0
New York Knicks,2005/06,0.28,79.6,56.1,135.7,18.0,24.0,26.0,558.0,552.0,1110.0,4.0,4.0,4.0
Portland Trail Blazers,2005/06,0.256,71.3,64.4,135.7,26.0,11.0,26.0,569.0,550.0,1119.0,2.0,5.0,3.0
Phoenix Suns,2004/05,0.7559999999999999,99.0,56.0,155.0,2.0,25.0,4.0,534.0,547.0,1081.0,11.0,4.0,11.0
San Antonio Spurs,2004/05,0.72,88.8,71.8,160.6,5.0,4.0,2.0,491.0,498.0,989.0,21.0,21.0,29.0
Miami Heat,2004/05,0.72,94.7,55.6,150.3,3.0,26.0,11.0,516.0,519.0,1035.0,17.0,16.0,24.0
Dallas Mavericks,2004/05,0.7070000000000001,90.5,67.9,158.4,4.0,9.0,3.0,525.0,516.0,1041.0,14.0,17.0,21.0
Detroit Pistons,2004/05,0.659,85.0,57.9,142.9,12.0,23.0,20.0,507.0,508.0,1015.0,19.0,19.0,27.0
Seattle SuperSonics,2004/05,0.634,85.89999999999999,65.6,151.5,8.0,13.0,9.0,551.0,542.0,1093.0,3.0,8.0,6.0
Houston Rockets,2004/05,0.622,85.1,61.4,146.5,11.0,16.0,12.0,511.0,507.0,1018.0,18.0,20.0,26.0
Sacramento Kings,2004/05,0.61,107.9,67.5,175.4,1.0,10.0,1.0,649.0,536.0,1185.0,1.0,11.0,1.0
Denver Nuggets,2004/05,0.598,85.8,65.8,151.6,9.0,12.0,8.0,519.0,519.0,1038.0,16.0,16.0,23.0
Chicago Bulls,2004/05,0.573,66.5,68.5,135.0,29.0,7.0,25.0,500.0,507.0,1007.0,20.0,20.0,28.0
Memphis Grizzlies,2004/05,0.5489999999999999,73.9,79.6,153.5,27.0,1.0,5.0,520.0,507.0,1027.0,15.0,20.0,25.0
Boston Celtics,2004/05,0.5489999999999999,81.7,71.1,152.8,14.0,5.0,6.0,537.0,527.0,1064.0,8.0,14.0,17.0
Washington Wizards,2004/05,0.5489999999999999,87.5,58.3,145.8,6.0,20.0,14.0,536.0,538.0,1074.0,9.0,10.0,14.0
Minnesota Timberwolves,2004/05,0.537,78.8,72.9,151.7,21.0,3.0,7.0,542.0,527.0,1069.0,6.0,14.0,16.0
Indiana Pacers,2004/05,0.537,73.6,76.9,150.5,28.0,2.0,10.0,532.0,514.0,1046.0,12.0,18.0,20.0
Philadelphia 76ers,2004/05,0.524,79.8,55.1,134.9,19.0,27.0,26.0,520.0,527.0,1047.0,15.0,14.0,19.0
Cleveland Cavaliers,2004/05,0.512,86.3,55.6,141.9,7.0,26.0,21.0,528.0,532.0,1060.0,13.0,12.0,18.0
New Jersey Nets,2004/05,0.512,77.9,57.900000000000006,135.8,23.0,22.0,24.0,516.0,524.0,1040.0,17.0,15.0,22.0
Los Angeles Clippers,2004/05,0.451,78.9,67.3,146.2,20.0,11.0,13.0,534.0,530.0,1064.0,11.0,13.0,17.0
Orlando Magic,2004/05,0.439,80.7,63.1,143.8,16.0,14.0,17.0,536.0,543.0,1079.0,9.0,7.0,13.0
Golden State Warriors,2004/05,0.415,76.4,69.8,146.2,25.0,6.0,13.0,532.0,539.0,1071.0,12.0,9.0,15.0
Los Angeles Lakers,2004/05,0.415,85.5,58.1,143.6,10.0,21.0,18.0,555.0,558.0,1113.0,2.0,2.0,3.0
Toronto Raptors,2004/05,0.402,84.9,59.3,144.2,13.0,18.0,16.0,542.0,542.0,1084.0,6.0,8.0,9.0
New York Knicks,2004/05,0.402,80.5,61.4,141.9,17.0,16.0,21.0,543.0,542.0,1085.0,5.0,8.0,8.0
Milwaukee Bucks,2004/05,0.366,80.3,62.900000000000006,143.2,18.0,15.0,19.0,550.0,546.0,1096.0,4.0,5.0,5.0
Portland Trail Blazers,2004/05,0.3289999999999999,76.7,68.0,144.7,24.0,8.0,15.0,535.0,545.0,1080.0,10.0,6.0,12.0
Utah Jazz,2004/05,0.317,78.69999999999999,60.7,139.39999999999998,22.0,17.0,23.0,550.0,547.0,1097.0,4.0,4.0,4.0
Charlotte Bobcats,2004/05,0.22,81.4,58.5,139.9,15.0,19.0,22.0,532.0,554.0,1086.0,12.0,3.0,7.0
New Orleans Hornets,2004/05,0.22,74.4,49.8,124.2,26.0,28.0,28.0,540.0,543.0,1083.0,7.0,7.0,10.0
Atlanta Hawks,2004/05,0.159,76.7,57.7,134.4,24.0,24.0,27.0,555.0,561.0,1116.0,2.0,1.0,2.0
Indiana Pacers,2003/04,0.7440000000000001,86.5,65.3,151.8,7.0,15.0,11.0,484.0,495.0,979.0,24.0,23.0,23.0
Minnesota Timberwolves,2003/04,0.7070000000000001,88.7,57.3,146.0,3.0,26.0,13.0,500.0,499.0,999.0,21.0,21.0,20.0
San Antonio Spurs,2003/04,0.695,84.8,69.0,153.8,8.0,11.0,9.0,470.0,472.0,942.0,26.0,26.0,25.0
Los Angeles Lakers,2003/04,0.6829999999999999,88.4,64.0,152.4,4.0,17.0,10.0,506.0,510.0,1016.0,19.0,18.0,18.0
Sacramento Kings,2003/04,0.6709999999999999,90.8,72.5,163.3,2.0,7.0,2.0,525.0,523.0,1048.0,9.0,10.0,9.0
Detroit Pistons,2003/04,0.659,84.30000000000001,70.10000000000001,154.40000000000003,9.0,9.0,8.0,478.0,479.0,957.0,25.0,25.0,24.0
Dallas Mavericks,2003/04,0.634,97.8,73.0,170.8,1.0,4.0,1.0,540.0,530.0,1070.0,4.0,6.0,4.0
Memphis Grizzlies,2003/04,0.61,87.6,72.6,160.2,6.0,6.0,4.0,516.0,506.0,1022.0,14.0,20.0,16.0
New Jersey Nets,2003/04,0.573,81.2,58.0,139.2,12.0,25.0,23.0,488.0,496.0,984.0,23.0,22.0,22.0
Houston Rockets,2003/04,0.5489999999999999,77.6,61.4,139.0,21.0,19.0,24.0,497.0,494.0,991.0,22.0,24.0,21.0
Denver Nuggets,2003/04,0.524,82.5,72.8,155.3,11.0,5.0,7.0,513.0,512.0,1025.0,16.0,16.0,15.0
Miami Heat,2003/04,0.512,78.6,61.2,139.8,20.0,20.0,22.0,507.0,511.0,1018.0,18.0,17.0,17.0
Utah Jazz,2003/04,0.512,77.5,58.4,135.9,22.0,23.0,27.0,515.0,527.0,1042.0,15.0,8.0,12.0
Milwaukee Bucks,2003/04,0.5,80.8,78.3,159.1,14.0,2.0,5.0,531.0,521.0,1052.0,5.0,12.0,7.0
Portland Trail Blazers,2003/04,0.5,79.9,81.5,161.4,17.0,1.0,3.0,528.0,522.0,1050.0,7.0,11.0,8.0
New Orleans Hornets,2003/04,0.5,81.1,63.6,144.7,13.0,18.0,17.0,511.0,514.0,1025.0,17.0,15.0,15.0
New York Knicks,2003/04,0.476,77.1,68.3,145.39999999999998,23.0,13.0,14.0,524.0,515.0,1039.0,10.0,14.0,13.0
Seattle SuperSonics,2003/04,0.451,88.0,67.5,155.5,5.0,14.0,6.0,543.0,539.0,1082.0,2.0,3.0,3.0
Golden State Warriors,2003/04,0.451,73.4,74.4,147.8,26.0,3.0,12.0,519.0,525.0,1044.0,13.0,9.0,11.0
Boston Celtics,2003/04,0.439,73.3,71.9,145.2,27.0,8.0,15.0,520.0,522.0,1042.0,12.0,11.0,12.0
Cleveland Cavaliers,2003/04,0.427,82.7,60.9,143.6,10.0,21.0,18.0,520.0,528.0,1048.0,12.0,7.0,9.0
Philadelphia 76ers,2003/04,0.402,78.7,58.1,136.8,19.0,24.0,26.0,507.0,515.0,1022.0,18.0,14.0,16.0
Toronto Raptors,2003/04,0.402,79.7,41.9,121.6,18.0,27.0,29.0,502.0,511.0,1013.0,20.0,17.0,19.0
Phoenix Suns,2003/04,0.354,74.4,68.89999999999999,143.3,25.0,12.0,19.0,529.0,533.0,1062.0,6.0,5.0,6.0
Los Angeles Clippers,2003/04,0.341,80.6,57.3,137.89999999999998,15.0,26.0,25.0,541.0,549.0,1090.0,3.0,2.0,2.0
Atlanta Hawks,2003/04,0.341,75.2,69.6,144.8,24.0,10.0,16.0,528.0,535.0,1063.0,7.0,4.0,5.0
Washington Wizards,2003/04,0.305,67.4,72.5,139.9,28.0,7.0,21.0,527.0,520.0,1047.0,8.0,13.0,10.0
Chicago Bulls,2003/04,0.28,67.0,64.2,131.2,29.0,16.0,28.0,521.0,508.0,1029.0,11.0,19.0,14.0
Orlando Magic,2003/04,0.256,80.1,60.0,140.1,16.0,22.0,20.0,553.0,551.0,1104.0,1.0,1.0,1.0
Dallas Mavericks,2002/03,0.732,99.7,62.4,162.1,1.0,15.0,2.0,511.0,511.0,1022.0,14.0,17.0,18.0
San Antonio Spurs,2002/03,0.732,83.1,68.4,151.5,13.0,8.0,8.0,498.0,500.0,998.0,18.0,22.0,25.0
Sacramento Kings,2002/03,0.72,88.7,68.2,156.9,4.0,9.0,4.0,495.0,506.0,1001.0,19.0,19.0,24.0
Minnesota Timberwolves,2002/03,0.622,77.89999999999999,76.3,154.2,22.0,3.0,7.0,520.0,523.0,1043.0,11.0,9.0,12.0
Detroit Pistons,2002/03,0.61,84.39999999999999,62.5,146.89999999999998,8.0,14.0,12.0,498.0,508.0,1006.0,18.0,18.0,23.0
Portland Trail Blazers,2002/03,0.61,80.9,77.0,157.9,17.0,2.0,3.0,512.0,516.0,1028.0,13.0,13.0,16.0
Los Angeles Lakers,2002/03,0.61,91.9,48.3,140.2,3.0,27.0,20.0,522.0,531.0,1053.0,10.0,7.0,9.0
New Jersey Nets,2002/03,0.598,87.5,53.7,141.2,5.0,23.0,19.0,492.0,495.0,987.0,20.0,23.0,26.0
Indiana Pacers,2002/03,0.585,84.1,64.0,148.1,10.0,13.0,11.0,498.0,513.0,1011.0,18.0,15.0,21.0
Philadelphia 76ers,2002/03,0.585,83.19999999999999,67.2,150.39999999999998,12.0,10.0,9.0,513.0,512.0,1025.0,12.0,16.0,17.0
Utah Jazz,2002/03,0.573,92.9,53.5,146.4,2.0,24.0,13.0,511.0,519.0,1030.0,14.0,11.0,15.0
New Orleans Hornets,2002/03,0.573,83.0,61.8,144.8,14.0,16.0,16.0,509.0,504.0,1013.0,16.0,20.0,20.0
Phoenix Suns,2002/03,0.537,81.4,53.9,135.3,16.0,22.0,24.0,512.0,519.0,1031.0,13.0,11.0,14.0
Boston Celtics,2002/03,0.537,74.9,59.6,134.5,25.0,17.0,25.0,509.0,508.0,1017.0,16.0,18.0,19.0
Houston Rockets,2002/03,0.524,85.5,58.0,143.5,7.0,18.0,17.0,510.0,518.0,1028.0,15.0,12.0,16.0
Milwaukee Bucks,2002/03,0.512,86.9,80.19999999999999,167.1,6.0,1.0,1.0,543.0,548.0,1091.0,2.0,2.0,2.0
Orlando Magic,2002/03,0.512,80.5,65.7,146.2,19.0,11.0,14.0,531.0,520.0,1051.0,6.0,10.0,10.0
Seattle SuperSonics,2002/03,0.488,79.4,75.0,154.4,21.0,4.0,6.0,524.0,515.0,1039.0,9.0,14.0,13.0
Golden State Warriors,2002/03,0.4629999999999999,84.10000000000001,72.3,156.4,9.0,5.0,5.0,547.0,549.0,1096.0,1.0,1.0,1.0
Washington Wizards,2002/03,0.451,82.5,55.5,138.0,15.0,21.0,23.0,525.0,519.0,1044.0,8.0,11.0,11.0
New York Knicks,2002/03,0.451,77.3,64.8,142.1,23.0,12.0,18.0,530.0,533.0,1063.0,7.0,6.0,7.0
Atlanta Hawks,2002/03,0.427,80.3,53.4,133.7,20.0,25.0,26.0,530.0,534.0,1064.0,7.0,5.0,6.0
Chicago Bulls,2002/03,0.366,66.89999999999999,72.3,139.2,28.0,5.0,22.0,532.0,524.0,1056.0,5.0,8.0,8.0
Memphis Grizzlies,2002/03,0.341,80.7,69.4,150.10000000000002,18.0,7.0,10.0,540.0,536.0,1076.0,3.0,4.0,3.0
Los Angeles Clippers,2002/03,0.3289999999999999,83.3,56.3,139.6,11.0,20.0,21.0,530.0,540.0,1070.0,7.0,3.0,4.0
Miami Heat,2002/03,0.305,70.69999999999999,56.9,127.6,27.0,19.0,27.0,512.0,513.0,1025.0,13.0,15.0,17.0
Toronto Raptors,2002/03,0.293,73.8,72.1,145.89999999999998,26.0,6.0,15.0,536.0,534.0,1070.0,4.0,5.0,4.0
Denver Nuggets,2002/03,0.207,61.3,50.7,112.0,29.0,26.0,29.0,506.0,502.0,1008.0,17.0,21.0,22.0
Cleveland Cavaliers,2002/03,0.207,75.4,47.4,122.8,24.0,28.0,28.0,532.0,533.0,1065.0,5.0,6.0,5.0
Sacramento Kings,2001/02,0.7440000000000001,90.8,73.6,164.39999999999998,3.0,3.0,2.0,507.0,507.0,1014.0,20.0,18.0,21.0
Los Angeles Lakers,2001/02,0.7070000000000001,92.7,62.8,155.5,1.0,17.0,3.0,509.0,511.0,1020.0,19.0,17.0,19.0
San Antonio Spurs,2001/02,0.7070000000000001,86.3,62.89999999999999,149.2,6.0,16.0,9.0,502.0,502.0,1004.0,22.0,20.0,23.0
Dallas Mavericks,2001/02,0.695,91.7,88.2,179.9,2.0,1.0,1.0,540.0,640.0,1180.0,4.0,1.0,1.0
New Jersey Nets,2001/02,0.634,79.1,71.1,150.2,17.0,5.0,8.0,498.0,500.0,998.0,24.0,21.0,25.0
Minnesota Timberwolves,2001/02,0.61,83.6,69.8,153.39999999999998,8.0,7.0,5.0,529.0,531.0,1060.0,10.0,8.0,8.0
Detroit Pistons,2001/02,0.61,83.3,64.1,147.39999999999998,9.0,11.0,12.0,510.0,523.0,1033.0,18.0,12.0,17.0
Portland Trail Blazers,2001/02,0.598,83.9,70.9,154.8,7.0,6.0,4.0,518.0,527.0,1045.0,15.0,11.0,13.0
Boston Celtics,2001/02,0.598,76.3,63.2,139.5,21.0,15.0,20.0,503.0,515.0,1018.0,21.0,15.0,20.0
Seattle SuperSonics,2001/02,0.5489999999999999,88.2,59.6,147.8,4.0,20.0,10.0,531.0,523.0,1054.0,9.0,12.0,10.0
Utah Jazz,2001/02,0.537,90.8,53.8,144.6,3.0,26.0,15.0,516.0,530.0,1046.0,17.0,9.0,12.0
Orlando Magic,2001/02,0.537,83.0,64.6,147.6,10.0,10.0,11.0,528.0,520.0,1048.0,11.0,13.0,11.0
Charlotte Hornets,2001/02,0.537,78.5,68.6,147.1,18.0,9.0,13.0,519.0,517.0,1036.0,14.0,14.0,16.0
Philadelphia 76ers,2001/02,0.524,82.89999999999999,56.0,138.89999999999998,11.0,24.0,21.0,503.0,505.0,1008.0,21.0,19.0,22.0
Indiana Pacers,2001/02,0.512,76.6,73.7,150.3,20.0,2.0,7.0,519.0,523.0,1042.0,14.0,12.0,15.0
Toronto Raptors,2001/02,0.512,81.1,56.7,137.8,13.0,23.0,23.0,517.0,513.0,1030.0,16.0,16.0,18.0
